interval_start_timestamp,channel_name,channel_id,participators,communicators,messages_sent,pct_participated_in_channel,pct_communicated_in_channel
2023-06-11T00:00:00+00:00,'📚・cursos',950451138623328286,7,1,1,0.7518796992481201,0.5747126436781608
2023-06-11T00:00:00+00:00,'🏦・defi',955513895806730320,3,0,0,0.322234156820623,
2023-06-11T00:00:00+00:00,'🕹・web3games',955557904570794094,5,1,1,0.5370569280343716,0.5747126436781608
2023-06-11T00:00:00+00:00,'📚・missão-4',955620605892366336,3,5,5,0.322234156820623,2.8735632183908044
2023-06-11T00:00:00+00:00,'🎓・pod-educação',956904606636597268,11,1,1,1.1815252416756177,0.5747126436781608
2023-06-11T00:00:00+00:00,'🌀・pod-comunidade',959100010702708796,14,6,10,1.5037593984962403,3.4482758620689653
2023-06-11T00:00:00+00:00,'𝝣・solidity',959495689308631070,43,13,85,4.618689581095597,7.471264367816093
2023-06-11T00:00:00+00:00,'⚙・rust',959497725295099944,12,6,18,1.288936627282492,3.4482758620689653
2023-06-11T00:00:00+00:00,'ꜩ・tezos',959524215227314277,1,1,1,0.1074113856068743,0.5747126436781608
2023-06-11T00:00:00+00:00,'📚・missão-5',960998168387010681,1,4,4,0.1074113856068743,2.2988505747126435
2023-06-11T00:00:00+00:00,'⛓・cadence',961956490653106226,1,2,3,0.1074113856068743,1.1494252873563218
2023-06-11T00:00:00+00:00,'🤝・proposta-parceria',963104602000097320,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'💬・chat-builds',968279325386367046,20,5,7,2.148227712137486,2.8735632183908044
2023-06-11T00:00:00+00:00,'🐞・bug-report',968297332892368956,8,4,12,0.8592910848549946,2.2988505747126435
2023-06-11T00:00:00+00:00,'👉・comece-aqui',968528561721982976,5,0,0,0.5370569280343716,
2023-06-11T00:00:00+00:00,'🌅・wall-papers',968539290567049266,3,1,1,0.322234156820623,0.5747126436781608
2023-06-11T00:00:00+00:00,'📚・missão-6',970424984965115914,1,3,3,0.1074113856068743,1.7241379310344829
2023-06-11T00:00:00+00:00,'🏁・progresso',971415765980942426,1,1,1,0.1074113856068743,0.5747126436781608
2023-06-11T00:00:00+00:00,'📲・dapp',972125118098714695,2,0,0,0.2148227712137486,
2023-06-11T00:00:00+00:00,'📚・missão-7',975429793921253387,2,3,3,0.2148227712137486,1.7241379310344829
2023-06-11T00:00:00+00:00,'🎓・pod-learn2earn',975445683366674442,6,1,1,0.644468313641246,0.5747126436781608
2023-06-11T00:00:00+00:00,'🦄・1inch',979151701653192714,4,2,4,0.4296455424274973,1.1494252873563218
2023-06-11T00:00:00+00:00,'💬・geral-solidity-smart-contract',980904303264952420,16,4,28,1.7185821697099892,2.2988505747126435
2023-06-11T00:00:00+00:00,'🆘・seção-1-ajuda',980904325763186788,7,1,5,0.7518796992481201,0.5747126436781608
2023-06-11T00:00:00+00:00,'🆘・seção-2-ajuda',980905562566967427,6,3,34,0.644468313641246,1.7241379310344829
